mesh_id,name,source
MESH:D006816,Huntington Disease,CTD
MESH:D008113,Liver Neoplasms,CTD
MESH:D008228,"Lymphoma, Non-Hodgkin",CTD
MESH:D016399,"Lymphoma, T-Cell",CTD
MESH:D013262,Stevens-Johnson Syndrome,CTD
MESH:D000014,"Abnormalities, Drug-Induced",CTD
MESH:D000544,Alzheimer Disease,CTD
MESH:D001008,Anxiety Disorders,CTD
MESH:D019970,Cocaine-Related Disorders,CTD
MESH:D003072,Cognition Disorders,CTD
MESH:D001068,Feeding and Eating Disorders,CTD
MESH:D005334,Fever,CTD
MESH:D006948,Hyperkinesis,CTD
MESH:D009771,Obsessive-Compulsive Disorder,CTD
MESH:D012021,"Reflex, Abnormal",CTD
MESH:D012640,Seizures,CTD
MESH:D005901,Glaucoma,CTD
MESH:D013375,Substance Withdrawal Syndrome,CTD
MESH:D001851,"Bone Diseases, Metabolic",CTD
MESH:D002277,Carcinoma,CTD
MESH:D016640,"Diabetes, Gestational",CTD
MESH:D004714,Endometrial Hyperplasia,CTD
MESH:D016889,Endometrial Neoplasms,CTD
MESH:D005327,Fetal Resorption,CTD
MESH:D018149,Glucose Intolerance,CTD
MESH:D019584,Hot Flashes,CTD
MESH:D006973,Hypertension,CTD
MESH:D007247,"Infertility, Female",CTD
MESH:D007248,"Infertility, Male",CTD
MESH:D008106,"Liver Cirrhosis, Experimental",CTD
MESH:D009374,"Neoplasms, Experimental",CTD
MESH:D009376,"Neoplasms, Hormone-Dependent",CTD
MESH:D007744,Obstetric Labor Complications,CTD
MESH:D007752,"Obstetric Labor, Premature",CTD
MESH:D015663,"Osteoporosis, Postmenopausal",CTD
MESH:D016471,Ovarian Hyperstimulation Syndrome,CTD
MESH:D010922,Placenta Diseases,CTD
MESH:D011230,Precancerous Conditions,CTD
MESH:D011248,Pregnancy Complications,CTD
MESH:D047928,Premature Birth,CTD
MESH:D013927,Thrombosis,CTD
MESH:D002581,Uterine Cervical Incompetence,CTD
MESH:D014592,Uterine Hemorrhage,CTD
MESH:D009461,Neurologic Manifestations,CTD
MESH:D010300,Parkinson Disease,CTD
MESH:D001943,Breast Neoplasms,CTD
MESH:D009336,Necrosis,CTD
MESH:D009362,Neoplasm Metastasis,CTD
MESH:D006930,Hyperalgesia,CTD
MESH:D007077,Ileal Diseases,CTD
MESH:D007579,Jejunal Diseases,CTD
MESH:D009135,Muscular Diseases,CTD
MESH:D002375,Catalepsy,CTD
MESH:D006528,"Carcinoma, Hepatocellular",CTD
MESH:D006332,Cardiomegaly,CTD
MESH:D015179,Colorectal Neoplasms,CTD
MESH:D005355,Fibrosis,CTD
MESH:D006976,"Hypertension, Pulmonary",CTD
MESH:D010190,Pancreatic Neoplasms,CTD
MESH:D011470,Prostatic Hyperplasia,CTD
MESH:D011471,Prostatic Neoplasms,CTD
MESH:D001927,Brain Diseases,CTD
MESH:D017880,"Limb Deformities, Congenital",CTD
MESH:D019767,Maxillofacial Abnormalities,CTD
MESH:D010859,Pigmentation Disorders,CTD
MESH:D005910,Glioma,CTD
MESH:D018316,Gliosarcoma,CTD
MESH:D015658,HIV Infections,CTD
MESH:D008527,Medulloblastoma,CTD
MESH:D003928,Diabetic Nephropathies,CTD
MESH:D064806,Dysbiosis,CTD
MESH:D050171,Dyslipidemias,CTD
MESH:D006331,Heart Diseases,CTD
MESH:D006943,Hyperglycemia,CTD
MESH:D008107,Liver Diseases,CTD
MESH:D019969,Amphetamine-Related Disorders,CTD
MESH:D008545,Melanoma,CTD
MESH:D009447,Neuroblastoma,CTD
MESH:D010235,Paraganglioma,CTD
MESH:D012878,Skin Neoplasms,CTD
MESH:D009410,Nerve Degeneration,CTD
MESH:D020734,Parkinsonian Disorders,CTD
MESH:D020521,Stroke,CTD
MESH:D004827,Epilepsy,CTD
MESH:D006417,Hematuria,CTD
MESH:D001145,"Arrhythmias, Cardiac",CTD
MESH:D001259,Ataxia,CTD
MESH:D004417,Dyspnea,CTD
MESH:D007022,Hypotension,CTD
MESH:D007035,Hypothermia,CTD
MESH:D009103,Multiple Sclerosis,CTD
MESH:D019954,Neurobehavioral Manifestations,CTD
MESH:D012131,Respiratory Insufficiency,CTD
MESH:D012798,Sialorrhea,CTD
MESH:D014202,Tremor,CTD
MESH:D014839,Vomiting,CTD
MESH:D003244,Consciousness Disorders,CTD
MESH:C535803,succinic semialdehyde dehydrogenase deficiency,CTD
MESH:D013610,Tachycardia,CTD
MESH:D008546,"Melanoma, Experimental",CTD
MESH:D009422,Nervous System Diseases,CTD
MESH:D058186,Acute Kidney Injury,CTD
MESH:D001284,Atrophy,CTD
MESH:D001930,Brain Injuries,CTD
MESH:D056486,Chemical and Drug Induced Liver Injury,CTD
MESH:D004719,Endomyocardial Fibrosis,CTD
MESH:D006342,"Heart Rupture, Post-Infarction",CTD
MESH:D006529,Hepatomegaly,CTD
MESH:D022124,Hyperammonemia,CTD
MESH:D007673,Kidney Cortex Necrosis,CTD
MESH:D007674,Kidney Diseases,CTD
MESH:D008569,Memory Disorders,CTD
MESH:D009069,Movement Disorders,CTD
MESH:D009203,Myocardial Infarction,CTD
MESH:D009369,Neoplasms,CTD
MESH:D009798,Ocular Hypertension,CTD
MESH:D015427,Reperfusion Injury,CTD
MESH:D013733,Testicular Diseases,CTD
MESH:D000855,Anorexia,CTD
MESH:D018376,Cardiovascular Abnormalities,CTD
MESH:D003967,Diarrhea,CTD
MESH:D007970,Leukopenia,CTD
MESH:D020879,Neuromuscular Manifestations,CTD
MESH:D020230,Serotonin Syndrome,CTD
MESH:D006505,Hepatitis,CTD
MESH:D000090862,Neuroinflammatory Diseases,CTD
MESH:D010787,Photosensitivity Disorders,CTD
MESH:D011565,Psoriasis,CTD
MESH:D001321,Autistic Disorder,CTD
MESH:D006712,Homocystinuria,CTD
MESH:D009436,Neural Tube Defects,CTD
MESH:D001919,Bradycardia,CTD
MESH:D004409,"Dyskinesia, Drug-Induced",CTD
MESH:D001523,Mental Disorders,CTD
MESH:D010146,Pain,CTD
MESH:D005221,Fatigue,CTD
MESH:D064726,Triple Negative Breast Neoplasms,CTD
MESH:D001749,Urinary Bladder Neoplasms,CTD
MESH:D064129,"Prostatic Neoplasms, Castration-Resistant",CTD
MESH:D004421,Dystonia,CTD
MESH:D010243,Paralysis,CTD
MESH:D000086382,COVID-19,CTD
MESH:D000860,Hypoxia,CTD
MESH:D012128,Respiratory Distress Syndrome,CTD
MESH:D000435,Alcoholic Intoxication,CTD
MESH:D000437,Alcoholism,CTD
MESH:D002545,Brain Ischemia,CTD
MESH:D009021,Morphine Dependence,CTD
MESH:D002312,"Cardiomyopathy, Hypertrophic",CTD
MESH:D002318,Cardiovascular Diseases,CTD
MESH:D003924,"Diabetes Mellitus, Type 2",CTD
MESH:D005234,Fatty Liver,CTD
MESH:D005770,Gastrointestinal Neoplasms,CTD
MESH:D007249,Inflammation,CTD
MESH:D017114,"Liver Failure, Acute",CTD
MESH:D065626,Non-alcoholic Fatty Liver Disease,CTD
MESH:D009765,Obesity,CTD
MESH:D000787,Angina Pectoris,CTD
MESH:D003875,Drug Eruptions,CTD
MESH:D000075222,Essential Hypertension,CTD
MESH:D006327,Heart Block,CTD
MESH:D009157,Myasthenia Gravis,CTD
MESH:D017202,Myocardial Ischemia,CTD
